scenario_id,tier,target_parameter,decision_node,state_vector,feasible_actions,prompt_text
T1_ceo_resign_nothing,1,core_path,A2,"{""decision_node"": ""A2"", ""ceo_resigned"": true, ""ceo_sacked"": false, ""review_commissioned"": false, ""action_delayed"": false, ""high_profile"": true}","[""no_strike"", ""rec_strike""]","[GAME STATE — PATH TO ASA's DECISION POINT]

Crisis context: The company's remuneration report is public. Executive pay has increased substantially — a multi-fold increase year-on-year — against a backdrop of serious regulatory action (court proceedings filed), confirmed labour law violations, and insider share sale timing concerns. The pay-performance link is fundamentally broken.

CEO status: The CEO has announced their resignation. This is a voluntary departure — the CEO chose to leave rather than being forced out by the Board.

Board governance action: The Board has NOT commissioned an independent governance review. No structural governance reform has been announced.

Board accountability posture: The Board has taken no substantive governance action. Its public posture has been defensive.

Speed of Board response: The Board has not acted despite the passage of time since the crisis became public.

Case profile: This is a nationally prominent case. The company is a major consumer brand and household name. Media coverage is intense and sustained. ASA's members are overwhelmingly shareholders and/or customers. ASA's stance will be front-page news.

[QUESTION]
ASA's company monitor team is preparing its voting intentions for this company's
upcoming AGM. The remuneration report is now public. Two actions are feasible:

Action A — No strike recommendation: ASA votes open proxies in favour of (or
abstains on) the remuneration report. ASA may still express concerns privately.

Action B — Recommend strike: ASA votes open proxies against the remuneration
report and publishes a voting intention explaining its reasoning.

Please rate the appropriateness of EACH action separately on a 1-5 scale:
1 = Not appropriate / not warranted given the circumstances
3 = Uncertain / could go either way
5 = Strongly appropriate / clearly warranted

Respond with structured Likert scores for each action and brief reasoning."
T1_ceo_resign_review,1,core_path,A2,"{""decision_node"": ""A2"", ""ceo_resigned"": true, ""ceo_sacked"": false, ""review_commissioned"": true, ""action_delayed"": false, ""high_profile"": true}","[""no_strike"", ""rec_strike""]","[GAME STATE — PATH TO ASA's DECISION POINT]

Crisis context: The company's remuneration report is public. Executive pay has increased substantially — a multi-fold increase year-on-year — against a backdrop of serious regulatory action (court proceedings filed), confirmed labour law violations, and insider share sale timing concerns. The pay-performance link is fundamentally broken.

CEO status: The CEO has announced their resignation. This is a voluntary departure — the CEO chose to leave rather than being forced out by the Board.

Board governance action: The Board has commissioned an independent governance review with publicly disclosed terms of reference.

Board accountability posture: The Board has commissioned a governance review, signalling willingness to reform, but has not taken direct action against the CEO.

Speed of Board response: The Board acted promptly — within days of the crisis becoming public. The speed of response suggests genuine commitment to accountability rather than reactive damage control.

Case profile: This is a nationally prominent case. The company is a major consumer brand and household name. Media coverage is intense and sustained. ASA's members are overwhelmingly shareholders and/or customers. ASA's stance will be front-page news.

[QUESTION]
ASA's company monitor team is preparing its voting intentions for this company's
upcoming AGM. The remuneration report is now public. Two actions are feasible:

Action A — No strike recommendation: ASA votes open proxies in favour of (or
abstains on) the remuneration report. ASA may still express concerns privately.

Action B — Recommend strike: ASA votes open proxies against the remuneration
report and publishes a voting intention explaining its reasoning.

Please rate the appropriateness of EACH action separately on a 1-5 scale:
1 = Not appropriate / not warranted given the circumstances
3 = Uncertain / could go either way
5 = Strongly appropriate / clearly warranted

Respond with structured Likert scores for each action and brief reasoning."
T1_ceo_stay_nothing,1,core_path,A2,"{""decision_node"": ""A2"", ""ceo_resigned"": false, ""ceo_sacked"": false, ""review_commissioned"": false, ""action_delayed"": false, ""high_profile"": true}","[""no_strike"", ""rec_strike""]","[GAME STATE — PATH TO ASA's DECISION POINT]

Crisis context: The company's remuneration report is public. Executive pay has increased substantially — a multi-fold increase year-on-year — against a backdrop of serious regulatory action (court proceedings filed), confirmed labour law violations, and insider share sale timing concerns. The pay-performance link is fundamentally broken.

CEO status: The CEO remains in position. The CEO has not resigned and the Board has not forced the CEO's departure.

Board governance action: The Board has NOT commissioned an independent governance review. No structural governance reform has been announced.

Board accountability posture: The Board has taken no substantive governance action. Its public posture has been defensive.

Speed of Board response: The Board has not acted despite the passage of time since the crisis became public.

Case profile: This is a nationally prominent case. The company is a major consumer brand and household name. Media coverage is intense and sustained. ASA's members are overwhelmingly shareholders and/or customers. ASA's stance will be front-page news.

[QUESTION]
ASA's company monitor team is preparing its voting intentions for this company's
upcoming AGM. The remuneration report is now public. Two actions are feasible:

Action A — No strike recommendation: ASA votes open proxies in favour of (or
abstains on) the remuneration report. ASA may still express concerns privately.

Action B — Recommend strike: ASA votes open proxies against the remuneration
report and publishes a voting intention explaining its reasoning.

Please rate the appropriateness of EACH action separately on a 1-5 scale:
1 = Not appropriate / not warranted given the circumstances
3 = Uncertain / could go either way
5 = Strongly appropriate / clearly warranted

Respond with structured Likert scores for each action and brief reasoning."
T1_ceo_stay_review,1,core_path,A2,"{""decision_node"": ""A2"", ""ceo_resigned"": false, ""ceo_sacked"": false, ""review_commissioned"": true, ""action_delayed"": false, ""high_profile"": true}","[""no_strike"", ""rec_strike""]","[GAME STATE — PATH TO ASA's DECISION POINT]

Crisis context: The company's remuneration report is public. Executive pay has increased substantially — a multi-fold increase year-on-year — against a backdrop of serious regulatory action (court proceedings filed), confirmed labour law violations, and insider share sale timing concerns. The pay-performance link is fundamentally broken.

CEO status: The CEO remains in position. The CEO has not resigned and the Board has not forced the CEO's departure.

Board governance action: The Board has commissioned an independent governance review with publicly disclosed terms of reference.

Board accountability posture: The Board has commissioned a governance review, signalling willingness to reform, but has not taken direct action against the CEO.

Speed of Board response: The Board acted promptly — within days of the crisis becoming public. The speed of response suggests genuine commitment to accountability rather than reactive damage control.

Case profile: This is a nationally prominent case. The company is a major consumer brand and household name. Media coverage is intense and sustained. ASA's members are overwhelmingly shareholders and/or customers. ASA's stance will be front-page news.

[QUESTION]
ASA's company monitor team is preparing its voting intentions for this company's
upcoming AGM. The remuneration report is now public. Two actions are feasible:

Action A — No strike recommendation: ASA votes open proxies in favour of (or
abstains on) the remuneration report. ASA may still express concerns privately.

Action B — Recommend strike: ASA votes open proxies against the remuneration
report and publishes a voting intention explaining its reasoning.

Please rate the appropriateness of EACH action separately on a 1-5 scale:
1 = Not appropriate / not warranted given the circumstances
3 = Uncertain / could go either way
5 = Strongly appropriate / clearly warranted

Respond with structured Likert scores for each action and brief reasoning."
T1_ceo_stay_sacked,1,core_path,A2,"{""decision_node"": ""A2"", ""ceo_resigned"": false, ""ceo_sacked"": true, ""review_commissioned"": false, ""action_delayed"": false, ""high_profile"": true}","[""no_strike"", ""rec_strike""]","[GAME STATE — PATH TO ASA's DECISION POINT]

Crisis context: The company's remuneration report is public. Executive pay has increased substantially — a multi-fold increase year-on-year — against a backdrop of serious regulatory action (court proceedings filed), confirmed labour law violations, and insider share sale timing concerns. The pay-performance link is fundamentally broken.

CEO status: The Board has taken the significant step of forcing the CEO's departure. This is a Board-initiated accountability action, not a voluntary resignation.

Board governance action: The Board has NOT commissioned an independent governance review. No structural governance reform has been announced.

Board accountability posture: The Board has forced the CEO's departure — the strongest possible accountability action short of clawback.

Speed of Board response: The Board acted promptly — within days of the crisis becoming public. The speed of response suggests genuine commitment to accountability rather than reactive damage control.

Case profile: This is a nationally prominent case. The company is a major consumer brand and household name. Media coverage is intense and sustained. ASA's members are overwhelmingly shareholders and/or customers. ASA's stance will be front-page news.

[QUESTION]
ASA's company monitor team is preparing its voting intentions for this company's
upcoming AGM. The remuneration report is now public. Two actions are feasible:

Action A — No strike recommendation: ASA votes open proxies in favour of (or
abstains on) the remuneration report. ASA may still express concerns privately.

Action B — Recommend strike: ASA votes open proxies against the remuneration
report and publishes a voting intention explaining its reasoning.

Please rate the appropriateness of EACH action separately on a 1-5 scale:
1 = Not appropriate / not warranted given the circumstances
3 = Uncertain / could go either way
5 = Strongly appropriate / clearly warranted

Respond with structured Likert scores for each action and brief reasoning."
T2_delay_001,2,w_strike_cost,A2,"{""decision_node"": ""A2"", ""ceo_resigned"": true, ""ceo_sacked"": false, ""review_commissioned"": true, ""action_delayed"": true, ""high_profile"": true}","[""no_strike"", ""rec_strike""]","[GAME STATE — PATH TO ASA's DECISION POINT]

Crisis context: The company's remuneration report is public. Executive pay has increased substantially — a multi-fold increase year-on-year — against a backdrop of serious regulatory action (court proceedings filed), confirmed labour law violations, and insider share sale timing concerns. The pay-performance link is fundamentally broken.

CEO status: The CEO has announced their resignation. This is a voluntary departure — the CEO chose to leave rather than being forced out by the Board.

Board governance action: The Board has commissioned an independent governance review with publicly disclosed terms of reference.

Board accountability posture: The Board has commissioned a governance review, signalling willingness to reform, but has not taken direct action against the CEO.

Speed of Board response: The Board's action came only after weeks of sustained public and regulatory pressure. The delay raises questions about whether the response reflects genuine commitment to reform or reactive damage control.

Case profile: This is a nationally prominent case. The company is a major consumer brand and household name. Media coverage is intense and sustained. ASA's members are overwhelmingly shareholders and/or customers. ASA's stance will be front-page news.

[QUESTION]
ASA's company monitor team is preparing its voting intentions for this company's
upcoming AGM. The remuneration report is now public. Two actions are feasible:

Action A — No strike recommendation: ASA votes open proxies in favour of (or
abstains on) the remuneration report. ASA may still express concerns privately.

Action B — Recommend strike: ASA votes open proxies against the remuneration
report and publishes a voting intention explaining its reasoning.

Please rate the appropriateness of EACH action separately on a 1-5 scale:
1 = Not appropriate / not warranted given the circumstances
3 = Uncertain / could go either way
5 = Strongly appropriate / clearly warranted

Respond with structured Likert scores for each action and brief reasoning."
T2_delay_002,2,w_strike_cost,A2,"{""decision_node"": ""A2"", ""ceo_resigned"": false, ""ceo_sacked"": false, ""review_commissioned"": true, ""action_delayed"": true, ""high_profile"": true}","[""no_strike"", ""rec_strike""]","[GAME STATE — PATH TO ASA's DECISION POINT]

Crisis context: The company's remuneration report is public. Executive pay has increased substantially — a multi-fold increase year-on-year — against a backdrop of serious regulatory action (court proceedings filed), confirmed labour law violations, and insider share sale timing concerns. The pay-performance link is fundamentally broken.

CEO status: The CEO remains in position. The CEO has not resigned and the Board has not forced the CEO's departure.

Board governance action: The Board has commissioned an independent governance review with publicly disclosed terms of reference.

Board accountability posture: The Board has commissioned a governance review, signalling willingness to reform, but has not taken direct action against the CEO.

Speed of Board response: The Board's action came only after weeks of sustained public and regulatory pressure. The delay raises questions about whether the response reflects genuine commitment to reform or reactive damage control.

Case profile: This is a nationally prominent case. The company is a major consumer brand and household name. Media coverage is intense and sustained. ASA's members are overwhelmingly shareholders and/or customers. ASA's stance will be front-page news.

[QUESTION]
ASA's company monitor team is preparing its voting intentions for this company's
upcoming AGM. The remuneration report is now public. Two actions are feasible:

Action A — No strike recommendation: ASA votes open proxies in favour of (or
abstains on) the remuneration report. ASA may still express concerns privately.

Action B — Recommend strike: ASA votes open proxies against the remuneration
report and publishes a voting intention explaining its reasoning.

Please rate the appropriateness of EACH action separately on a 1-5 scale:
1 = Not appropriate / not warranted given the circumstances
3 = Uncertain / could go either way
5 = Strongly appropriate / clearly warranted

Respond with structured Likert scores for each action and brief reasoning."
T2_delay_003,2,w_strike_cost,A2,"{""decision_node"": ""A2"", ""ceo_resigned"": false, ""ceo_sacked"": true, ""review_commissioned"": false, ""action_delayed"": true, ""high_profile"": true}","[""no_strike"", ""rec_strike""]","[GAME STATE — PATH TO ASA's DECISION POINT]

Crisis context: The company's remuneration report is public. Executive pay has increased substantially — a multi-fold increase year-on-year — against a backdrop of serious regulatory action (court proceedings filed), confirmed labour law violations, and insider share sale timing concerns. The pay-performance link is fundamentally broken.

CEO status: The Board has taken the significant step of forcing the CEO's departure. This is a Board-initiated accountability action, not a voluntary resignation.

Board governance action: The Board has NOT commissioned an independent governance review. No structural governance reform has been announced.

Board accountability posture: The Board has forced the CEO's departure — the strongest possible accountability action short of clawback.

Speed of Board response: The Board's action came only after weeks of sustained public and regulatory pressure. The delay raises questions about whether the response reflects genuine commitment to reform or reactive damage control.

Case profile: This is a nationally prominent case. The company is a major consumer brand and household name. Media coverage is intense and sustained. ASA's members are overwhelmingly shareholders and/or customers. ASA's stance will be front-page news.

[QUESTION]
ASA's company monitor team is preparing its voting intentions for this company's
upcoming AGM. The remuneration report is now public. Two actions are feasible:

Action A — No strike recommendation: ASA votes open proxies in favour of (or
abstains on) the remuneration report. ASA may still express concerns privately.

Action B — Recommend strike: ASA votes open proxies against the remuneration
report and publishes a voting intention explaining its reasoning.

Please rate the appropriateness of EACH action separately on a 1-5 scale:
1 = Not appropriate / not warranted given the circumstances
3 = Uncertain / could go either way
5 = Strongly appropriate / clearly warranted

Respond with structured Likert scores for each action and brief reasoning."
T2_delay_low_profile_004,2,w_strike_cost,A2,"{""decision_node"": ""A2"", ""ceo_resigned"": false, ""ceo_sacked"": false, ""review_commissioned"": true, ""action_delayed"": true, ""high_profile"": false}","[""no_strike"", ""rec_strike""]","[GAME STATE — PATH TO ASA's DECISION POINT]

Crisis context: The company's remuneration report is public. Executive pay has increased substantially — a multi-fold increase year-on-year — against a backdrop of serious regulatory action (court proceedings filed), confirmed labour law violations, and insider share sale timing concerns. The pay-performance link is fundamentally broken.

CEO status: The CEO remains in position. The CEO has not resigned and the Board has not forced the CEO's departure.

Board governance action: The Board has commissioned an independent governance review with publicly disclosed terms of reference.

Board accountability posture: The Board has commissioned a governance review, signalling willingness to reform, but has not taken direct action against the CEO.

Speed of Board response: The Board's action came only after weeks of sustained public and regulatory pressure. The delay raises questions about whether the response reflects genuine commitment to reform or reactive damage control.

Case profile: This is a lower-profile case. The company is not a major consumer brand and media coverage has been limited. While ASA monitors the company, its stance will receive modest public attention.

[QUESTION]
ASA's company monitor team is preparing its voting intentions for this company's
upcoming AGM. The remuneration report is now public. Two actions are feasible:

Action A — No strike recommendation: ASA votes open proxies in favour of (or
abstains on) the remuneration report. ASA may still express concerns privately.

Action B — Recommend strike: ASA votes open proxies against the remuneration
report and publishes a voting intention explaining its reasoning.

Please rate the appropriateness of EACH action separately on a 1-5 scale:
1 = Not appropriate / not warranted given the circumstances
3 = Uncertain / could go either way
5 = Strongly appropriate / clearly warranted

Respond with structured Likert scores for each action and brief reasoning."
T2_delay_low_profile_005,2,w_strike_cost,A2,"{""decision_node"": ""A2"", ""ceo_resigned"": false, ""ceo_sacked"": true, ""review_commissioned"": false, ""action_delayed"": true, ""high_profile"": false}","[""no_strike"", ""rec_strike""]","[GAME STATE — PATH TO ASA's DECISION POINT]

Crisis context: The company's remuneration report is public. Executive pay has increased substantially — a multi-fold increase year-on-year — against a backdrop of serious regulatory action (court proceedings filed), confirmed labour law violations, and insider share sale timing concerns. The pay-performance link is fundamentally broken.

CEO status: The Board has taken the significant step of forcing the CEO's departure. This is a Board-initiated accountability action, not a voluntary resignation.

Board governance action: The Board has NOT commissioned an independent governance review. No structural governance reform has been announced.

Board accountability posture: The Board has forced the CEO's departure — the strongest possible accountability action short of clawback.

Speed of Board response: The Board's action came only after weeks of sustained public and regulatory pressure. The delay raises questions about whether the response reflects genuine commitment to reform or reactive damage control.

Case profile: This is a lower-profile case. The company is not a major consumer brand and media coverage has been limited. While ASA monitors the company, its stance will receive modest public attention.

[QUESTION]
ASA's company monitor team is preparing its voting intentions for this company's
upcoming AGM. The remuneration report is now public. Two actions are feasible:

Action A — No strike recommendation: ASA votes open proxies in favour of (or
abstains on) the remuneration report. ASA may still express concerns privately.

Action B — Recommend strike: ASA votes open proxies against the remuneration
report and publishes a voting intention explaining its reasoning.

Please rate the appropriateness of EACH action separately on a 1-5 scale:
1 = Not appropriate / not warranted given the circumstances
3 = Uncertain / could go either way
5 = Strongly appropriate / clearly warranted

Respond with structured Likert scores for each action and brief reasoning."
