result_id,scenario_id,model,prompt_variant,draw,action_order,hash_token,raw_output,parse_status,action_scores,commentary,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,called_at
209422ed-6d8,T1_ceo_stay_sacked,gpt-4o-mini,1,26,"[""no_strike"", ""rec_strike""]",2fd7d6d5ba41cbd7,,success,"{""no_strike"": 2, ""rec_strike"": 4}","In this scenario, the ASA's recommendation must balance the positive steps taken by the Board against the ongoing governance issues. A strike recommendation underscores accountability, especially in a high-profile case, but may also risk damaging future relations with the Board. Ultimately, a rec_strike is more appropriate than no strike based on current governance challenges.",0,0,0,0.0,2026-03-11T22:20:14.021472
3aecbeb0-4d9,T1_ceo_stay_review,gpt-4o-mini,1,47,"[""rec_strike"", ""no_strike""]",23079bb2df390ca1,,success,"{""no_strike"": 4, ""rec_strike"": 3}","The situation presents a complex balance between signaling accountability and responding appropriately to genuine reform efforts by the Board. The decision is complicated by the prominent nature of the case, which heightens the visibility and pressure on ASA to act decisively.",0,0,0,0.0,2026-03-11T22:20:12.000360
cd057488-c48,T1_ceo_resign_review,gpt-4o-mini,1,33,"[""rec_strike"", ""no_strike""]",367947e6821077c0,,success,"{""no_strike"": 4, ""rec_strike"": 3}","The circumstances present a complex picture for ASA. On the one hand, the governance issues are severe and publicly documented. On the other hand, the Board's rapid response indicates a commitment to addressing these issues, making a no-strike recommendation somewhat more favorable at this juncture. The decision impacts future engagement opportunities.",0,0,0,0.0,2026-03-11T22:20:04.612534
a4998e2c-7f8,T1_ceo_resign_nothing,gpt-4o-mini,1,12,"[""no_strike"", ""rec_strike""]",a193fed3f51c1cda,,success,"{""no_strike"": 1, ""rec_strike"": 5}","ASA's decision must communicate strong opposition to the current governance practices, especially in a high-profile case. A strike recommendation is warranted due to the Board's lack of meaningful action and the severity of the crisis.",0,0,0,0.0,2026-03-11T22:20:01.269191
476f2d2c-128,T1_ceo_stay_review,gpt-4o-mini,1,31,"[""rec_strike"", ""no_strike""]",12e001c8c0fd3145,,success,"{""no_strike"": 3, ""rec_strike"": 4}","In this context, ASA's decision is complex. The Board's prompt action to commission a governance review suggests commitment, but the lack of consequences for the CEO amidst substantial issues presents a strong argument for a strike to uphold governance standards.",0,0,0,0.0,2026-03-11T22:20:10.917002
6cef5009-548,T1_ceo_resign_nothing,gpt-4o-mini,1,45,"[""rec_strike"", ""no_strike""]",7c0df82294286bbb,,success,"{""rec_strike"": 5, ""no_strike"": 1}","The context of the crisis--specifically the substantial failures in governance, the serious issues surrounding executive pay, and the public nature of the case--strongly supports a strike recommendation, while a decision to refrain from such action is unwarranted.",0,0,0,0.0,2026-03-11T22:20:01.390268
53cc85bb-636,T2_delay_001,gpt-4o-mini,1,26,"[""rec_strike"", ""no_strike""]",d38e7a6fcae7daa4,,success,"{""no_strike"": 2, ""rec_strike"": 4}","In this high-profile case, ASA should prioritize its role as a governance watchdog. Although the Board has taken a step towards reform with the governance review, the timing of their action raises concerns about their commitment. A strike signals to both the company and other boards that governance failures must have consequences.",0,0,0,0.0,2026-03-11T22:20:17.539121
f587e6ac-f3b,T1_ceo_stay_sacked,gpt-4o-mini,1,48,"[""rec_strike"", ""no_strike""]",21a0ff2e2c4f4296,,success,"{""no_strike"": 2, ""rec_strike"": 4}","The situation involves serious governance failures coupled with a significant corrective action by the Board. ASA must balance its role as a governance watchdog with the need to maintain constructive relationships. While a no strike might preserve relationships, it risks appearing complacent given the deeper issues.",0,0,0,0.0,2026-03-11T22:20:15.765931
0154479f-108,T1_ceo_resign_nothing,gpt-4o-mini,1,15,"[""rec_strike"", ""no_strike""]",c6999ab1ec0dc6d1,,success,"{""rec_strike"": 5, ""no_strike"": 1}","In this scenario, the Board's defensive posture and lack of an independent governance review, alongside the voluntary resignation of the CEO, necessitate a strong response from ASA to maintain its reputation and advocate for shareholder interests.",0,0,0,0.0,2026-03-11T22:20:01.277522
70363444-ff3,T1_ceo_resign_nothing,gpt-4o-mini,1,2,"[""no_strike"", ""rec_strike""]",24e8a9ee15156a32,,success,"{""no_strike"": 1, ""rec_strike"": 5}","In this context, a strike recommendation is essential to uphold governance standards, especially given the national prominence of the case and the lack of meaningful Board actions.",0,0,0,0.0,2026-03-11T22:20:01.242191
